miles,pace,time,day,,
3.4,6:57,5:02 PM,Monday,,
3.04,7:00,4:41 PM,Tuesday,,
4.31,7:35,5:10 PM,Wednesday,,
4.69,7:35,5:23 PM,Thursday,,
5.24,7:49,12:36 PM,Saturday,,
5,6:49,8:13 AM,Sunday,,
5.03,6:43,4:26 PM,Monday,,
5.01,6:53,4:21 PM,Tuesday,,
6.03,6:44,4:42 PM,Wednesday,,
6.07,6:53,4:42 PM,Thursday,,
6.24,6:41,10:16 AM,Saturday,,
7.11,6:44,10:40 AM,Sunday,,
7,6:48,4:54 PM,Monday,,
8.01,6:55,4:43 PM,Tuesday,,
8.02,6:58,5:04 PM,Wednesday,,
8.17,6:48,4:39 PM,Thursday,,
6.08,6:39,5:09 AM,Friday,,
5.01,6:26,9:51 AM,Saturday,,
5.49,6:22,6:15 PM,Saturday,,
10.04,6:34,9:19 AM,Sunday,,
7.02,7:10,4:59 AM,Monday,,
5.01,6:51,4:34 PM,Monday,,
8.11,6:33,5:00 AM,Tuesday,,
7.03,6:36,5:00 AM,Wednesday,,
5.02,6:55,4:32 PM,Wednesday,,
7.07,6:34,5:00 AM,Thursday,,
5.11,7:00,4:31 PM,Thursday,,
9.21,6:29,4:53 PM,Saturday,,
10.4,6:53,10:03 AM,Sunday,,
5.01,6:44,9:26 AM,Monday,,
6.22,6:50,7:30 AM,Tuesday,,
8.14,6:46,5:01 AM,Wednesday,,
5.11,7:02,4:26 PM,Wednesday,,
9.07,6:33,5:01 AM,Thursday,,
8.14,6:34,5:01 AM,Friday,,
5.3,6:29,3:49 PM,Friday,,
5.01,7:06,8:56 AM,Saturday,,
13.01,6:41,9:25 AM,Sunday,,
9.05,7:09,4:42 AM,Monday,,
8.12,6:34,4:53 AM,Tuesday,,
5.1,7:03,4:20 PM,Tuesday,,
9.06,6:34,4:54 AM,Wednesday,,
8.14,6:56,4:52 AM,Thursday,,
5.02,6:36,4:27 PM,Thursday,,
8.04,7:12,4:48 AM,Friday,,
5,7:29,9:21 AM,Saturday,,
13,6:29,8:56 AM,Sunday,,
7.06,7:09,4:49 AM,Monday,,
4.02,6:51,4:23 PM,Monday,,
8.15,6:49,4:52 AM,Tuesday,,
9.02,6:41,4:50 AM,Wednesday,,
8.15,7:04,4:48 AM,Thursday,,
7.12,6:26,4:34 AM,Friday,,
4.01,6:33,3:34 PM,Friday,,
9.01,6:43,7:39 AM,Sunday,,
9.34,6:28,4:34 AM,Monday,,
9.05,6:39,4:32 AM,Tuesday,,
5.11,6:40,4:11 PM,Tuesday,,
8.15,7:06,4:50 AM,Wednesday,,
8.04,6:14,4:33 AM,Thursday,,
5.06,6:45,4:09 PM,Thursday,,
8.05,7:08,4:43 AM,Friday,,
5.01,7:47,9:25 AM,Saturday,,
13,6:33,8:11 AM,Sunday,,
8.04,7:06,4:40 AM,Monday,,
3.04,7:22,4:30 AM,Tuesday,,
4,5:46,4:55 AM,Tuesday,,
3.01,7:15,5:25 AM,Tuesday,,
8.14,6:46,4:49 AM,Wednesday,,
5.01,6:37,4:03 PM,Wednesday,,
8.02,6:36,3:54 AM,Friday,,
,,,,,
,,,,,
